Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms))
BRISK,BRIEF,1,2777,282,210.98732200,0.68087400,178,0.49652700
BRISK,BRIEF,2,2741,282,212.74951000,0.67402700,205,0.48782100
BRISK,BRIEF,3,2735,277,211.50951200,0.66378000,185,0.48023100
BRISK,BRIEF,4,2757,297,212.17772900,0.70490400,179,0.49484900
BRISK,BRIEF,5,2695,279,211.12418300,0.67167100,183,0.49612400
BRISK,BRIEF,6,2715,289,211.38537000,0.68713100,195,0.51022000
BRISK,BRIEF,7,2628,272,211.06211900,0.66106200,207,0.50147200
BRISK,BRIEF,8,2639,266,211.31126200,0.62025300,189,0.47791600
BRISK,BRIEF,9,2672,254,210.58872700,0.61857100,183,0.45430000

BRISK,ORB,0,2757,264,211.68580100,3.15228600,0,0.41832300
BRISK,ORB,1,2777,282,211.18568100,3.28221800,162,0.44172800
BRISK,ORB,2,2741,282,211.81200200,3.27283900,175,0.48724700
BRISK,ORB,3,2735,277,211.84835600,3.17953100,158,0.47724300
BRISK,ORB,4,2757,297,211.98378500,3.24423000,167,0.50161300
BRISK,ORB,5,2695,279,211.39634000,3.14467100,160,0.46674500
BRISK,ORB,6,2715,289,210.88606500,3.25524000,182,0.45802900
BRISK,ORB,7,2628,272,210.99976000,3.24285700,167,0.47442600
BRISK,ORB,8,2639,266,211.26100000,3.16828700,171,0.48526200
BRISK,ORB,9,2672,254,211.39255900,3.23945800,172,0.40761600

BRISK,FREAK,0,2757,264,211.72007100,27.16805700,0,0.00336200
BRISK,FREAK,1,2777,282,211.62932200,27.67150300,160,0.47717500
BRISK,FREAK,2,2741,282,211.86555000,27.56717900,177,0.47689800
BRISK,FREAK,3,2735,277,211.88627400,27.21655800,155,0.49519800
BRISK,FREAK,4,2757,297,212.04027200,27.18707900,173,0.49821000
BRISK,FREAK,5,2695,279,212.11821000,27.08279300,161,0.51967800
BRISK,FREAK,6,2715,289,210.50893600,27.05810600,183,0.49444800
BRISK,FREAK,7,2628,272,211.13995000,27.11623100,169,0.51160800
BRISK,FREAK,8,2639,266,211.56431700,27.70204700,178,0.46161100
BRISK,FREAK,9,2672,254,211.35629600,27.05780900,168,0.44329600

BRISK,SIFT,0,2757,264,211.79308600,14.35504600,0,0.00375700
BRISK,SIFT,1,2777,282,211.10377100,14.04004700,182,0.59360300
BRISK,SIFT,2,2741,282,212.40201500,15.02400700,193,0.61468400
BRISK,SIFT,3,2735,277,212.91539600,15.10742900,169,0.68024900
BRISK,SIFT,4,2757,297,213.33579900,14.38268600,183,0.65037300
BRISK,SIFT,5,2695,279,212.72629300,14.88607300,171,0.67750500
BRISK,SIFT,6,2715,289,214.52304600,14.46587300,195,0.62847200
BRISK,SIFT,7,2628,272,214.66086100,15.11436700,194,0.65728800
BRISK,SIFT,8,2639,266,213.17220000,14.31789800,176,0.61777700
BRISK,SIFT,9,2672,254,211.88856400,14.01786100,183,0.59491000

ORB,BRISK,0,500,92,66.13210600,186.93561300,0,0.00385600
ORB,BRISK,1,500,102,5.05265500,184.73748200,73,0.20127400
ORB,BRISK,2,500,106,4.96866600,185.61548300,74,0.20308100
ORB,BRISK,3,500,113,5.35135400,185.14793200,79,0.24081900
ORB,BRISK,4,500,109,5.25022600,185.04968700,85,0.22686100
ORB,BRISK,5,500,125,4.96929700,184.70934700,79,0.23623300
ORB,BRISK,6,500,130,5.04426300,185.61874600,92,0.25607800
ORB,BRISK,7,500,129,5.35241100,186.25780100,90,0.23921300
ORB,BRISK,8,500,127,5.15450400,184.95639700,88,0.26343100
ORB,BRISK,9,500,128,5.08571500,184.78959500,91,0.29039100

ORB,BRIEF,0,500,92,4.99484200,0.45693500,0,0.00278900
ORB,BRIEF,1,500,102,5.08272900,0.31916800,49,0.19929000
ORB,BRIEF,2,500,106,5.08351100,0.33097800,43,0.20363500
ORB,BRIEF,3,500,113,5.24559000,0.41791900,45,0.18618300
ORB,BRIEF,4,500,109,4.90464700,0.39717500,59,0.20397000
ORB,BRIEF,5,500,125,4.91368100,0.43122700,53,0.22586500
ORB,BRIEF,6,500,130,4.83786400,0.44599500,78,0.20987100
ORB,BRIEF,7,500,129,4.92284400,0.37212400,68,0.24117000
ORB,BRIEF,8,500,127,5.05580300,0.50701500,84,0.25017900
ORB,BRIEF,9,500,128,5.04567600,0.43998900,66,0.21820800

ORB,ORB,0,500,92,4.89468200,3.05562100,0,0.19230600
ORB,ORB,1,500,102,4.87334900,3.13324200,67,0.17361400
ORB,ORB,2,500,106,4.97818800,3.08507200,70,0.17368000
ORB,ORB,3,500,113,4.93801200,3.09727800,72,0.18725500
ORB,ORB,4,500,109,4.94391100,3.03332600,84,0.21631000
ORB,ORB,5,500,125,4.90890800,3.15722100,91,0.20202900
ORB,ORB,6,500,130,4.90421000,3.14637200,101,0.22810200
ORB,ORB,7,500,129,4.95687200,3.21900000,92,0.21586800
ORB,ORB,8,500,127,4.95382500,3.12750100,93,0.25917700
ORB,ORB,9,500,128,5.01499900,3.11537000,93,0.21825100

ORB,FREAK,0,500,92,4.97079000,27.35772100,0,0.00404300
ORB,FREAK,1,500,102,4.86655500,26.87082200,42,0.11423600
ORB,FREAK,2,500,106,4.98685200,26.27415100,36,0.13766700
ORB,FREAK,3,500,113,4.95632500,26.43486100,44,0.14629400
ORB,FREAK,4,500,109,5.16975600,26.37223900,47,0.17727100
ORB,FREAK,5,500,125,5.01580100,26.45261900,44,0.16626800
ORB,FREAK,6,500,130,5.16403500,26.44228100,51,0.17698300
ORB,FREAK,7,500,129,5.02060200,26.58949100,52,0.16753000
ORB,FREAK,8,500,127,5.02160700,26.38889900,48,0.18784500
ORB,FREAK,9,500,128,5.12587900,26.48265600,56,0.18809800

ORB,SIFT,0,500,92,5.10479300,15.02996000,0,0.00416400
ORB,SIFT,1,500,102,5.14836100,15.99763400,67,0.18775500
ORB,SIFT,2,500,106,5.19391500,16.50510800,79,0.23618700
ORB,SIFT,3,500,113,4.90298500,16.94107200,78,0.23164700
ORB,SIFT,4,500,109,4.80898400,16.48346000,79,0.25378700
ORB,SIFT,5,500,125,4.92335700,17.27665300,82,0.25037200
ORB,SIFT,6,500,130,5.10915700,18.17593300,95,0.27186900
ORB,SIFT,7,500,129,4.99596000,18.87705200,95,0.28354700
ORB,SIFT,8,500,127,5.03543000,17.73159900,94,0.27435300
ORB,SIFT,9,500,128,5.05350600,16.89125900,94,0.27048400

AKAZE,BRISK,0,1351,166,36.80449700,188.87419700,0,0.00290000
AKAZE,BRISK,1,1327,157,41.89125700,188.67548000,137,0.33020800
AKAZE,BRISK,2,1311,161,43.32161400,188.28644700,125,0.33358100
AKAZE,BRISK,3,1351,155,38.16645400,186.58289100,129,0.31120400
